Marca temporal,¿Pudo entregar todos los trabajos de la materia?,¿Cuánto te gusta Python como lenguaje de programación?,¿Consideras que tu rendimiento por la mañana es peor que por la tarde?,¿Considerás que analizar datos es aburrido?,¿Tu cumplimiento con las entregas tiene que ver con que estás en el último año y querés terminar?,¿Se te dificultó la búsqueda de datasets? ,¿Te resultó GitHub una herramienta útil para ver los enunciados de la materia? ,¿Crees que el cambio de modalidad (Virtual y presencial) dificultó tu rendimiento?,¿Qué modalidad preferís?,¿Hasta qué mes entregaste trabajos?
11/11/2021 8:06:19,No,Normal,Sí,No,No,No,Sí,Sí,Presencial,Agosto
11/11/2021 8:06:22,Sí,Bastante,No,No,No,Sí,Sí,Tal vez,Presencial,Noviembre
11/11/2021 8:06:22,No,Bastante,No,Sí,Sí,Sí,No,Tal vez,Virtual,Mayo
11/11/2021 8:06:27,Sí,Normal,No,No,No,Sí,Sí,No,Presencial,Noviembre
11/11/2021 8:06:34,Sí,Normal,No,No,No,Sí,Sí,No,Presencial,Noviembre
11/11/2021 8:06:36,Sí,Normal,No,No,Sí,Sí,Sí,No,Presencial,Noviembre
11/11/2021 8:06:37,Sí,Normal,Sí,No,Sí,Sí,Sí,No,Presencial,Agosto
11/11/2021 8:06:39,Sí,Bastante,No,No,No,No,Sí,Tal vez,Virtual,Noviembre
11/11/2021 8:07:18,No,Normal,Sí,Sí,Sí,Sí,No,Sí,Presencial,Marzo
11/11/2021 8:07:20,No,Un poco,Sí,Sí,Sí,Sí,Sí,Sí,Virtual,Septiembre
11/11/2021 8:07:33,No,Bastante,No,No,No,No,Sí,Sí,Presencial,Noviembre
11/11/2021 8:07:41,No,Normal,Sí,No,Sí,Sí,No,Sí,Presencial,Septiembre
11/11/2021 8:07:41,Sí,Bastante,Sí,Sí,Sí,No,Sí,No,Presencial,Noviembre
11/11/2021 8:07:48,Sí,Bastante,No,No,No,Sí,Sí,No,Virtual,Noviembre
11/11/2021 8:08:04,No,me fascina,Sí,Sí,Sí,Sí,No,Sí,Virtual,Agosto
11/11/2021 8:08:05,No,Normal,Sí,Sí,Sí,No,Sí,No,Presencial,Septiembre
11/11/2021 8:08:19,Sí,Normal,No,Sí,Sí,Sí,Sí,No,Virtual,Noviembre
11/11/2021 8:08:24,No,Nada,Sí,Sí,Sí,Sí,No,Tal vez,Presencial,Junio
11/11/2021 8:09:01,No,Normal,Sí,No,Sí,No,Sí,Sí,Presencial,Julio
11/11/2021 8:09:27,No,Me encanta,No,No,Sí,No,Sí,Sí,Virtual,Agosto
11/11/2021 8:10:40,No,Un poco,Sí,Sí,Sí,Sí,Sí,Tal vez,Presencial,Julio
11/11/2021 8:11:07,Sí,Un poco,Sí,No,Sí,No,Sí,Tal vez,Presencial,Noviembre
11/11/2021 8:11:21,No,Normal,Sí,No,Sí,No,Sí,Sí,Virtual,Octubre
11/11/2021 8:11:41,No,Un poco,No,Sí,No,No,Sí,Sí,Presencial,Noviembre
11/11/2021 8:11:56,No,Bastante,No,No,No,No,Sí,Tal vez,Virtual,Septiembre
11/11/2021 8:15:33,No,Bastante,Sí,No,Sí,Sí,Sí,No,Presencial,Agosto
11/11/2021 8:15:43,No,Un poco,No,No,Sí,No,Sí,Sí,Virtual,Marzo
