identificacion_expediente,fecha_ingreso,area_emisora,genero_solicitante,referencia_expediente,area_responsable_respuesta,sintesis_respuesta,nombre_cargo_firmante_respuesta,fecha_respuesta
EXP-S04:0072188/2011,2011-11-20,Mesa General de Entradas,Masculino,"Solicita se le informe en que año fue creado el ministerio, desde cuando se denomina Justicia y Derechos humanos, cuales son sus funciones; cantidad de empleados: si todos trabajan en el mismo edificio o diferentes sedes y si existe algún área en particular que trabaje en conjunto con otro ministerio.",Dirección General de Recursos Humanos,Mediante Nota DD Nº 4190/2011 se responde a lo solicitado,,2011-11-25
TRI-S04:0008852/2011,2011-11-22,INADI,Femenino,"Pedido de Acceso a la Información Pública - Arroyo, Magali - Pedido de acceso a la información pública (Decreto 1172/03)",despinadi@minjus,"NOTA-S04:0033905/2011  Cumplo en informar que surge de nuestros registros un total de 1558 denuncias ingresadas en el año 2010. De las cuales la mayor cantidad de denuncias corresponden al motivo Discapacidad con un total de 266 denuncias,-",,2011-11-22
TRI-S04:0008853/2011,2011-11-22,INADI,Femenino,Pedido de Acceso a la Información Pública de fecha 09 de noviembre de 2011 - Pedido de Acceso a la Información Pública (Decreto 1172/03),despinadi@minjus,Se responde mediante NOTA-S04:0033920/2011,,2011-11-22
EXP-S04:0009038/2011,2011-11-23,Otra Mesa de Entradas del Organismo,Femenino,Solicita información relacionada con presupuesto de recursos y gastos y recursos humanos aplicados a la ejecución del Plan de Acción del Anexo I de la Resol. MJyDH 458/01.,Oficina Anticorrupción,"Mediante Nota OA Nº 3945/2011, se da por cumplimentado el presente.",,2011-12-03
EXP-S04:0030414/2012,2012-06-15,Mesa General de Entradas,Femenino,solicita información sobre estadísticas de femicidios ocurridos en los años 2011/2,Subsecretaría de Política Criminal,Mediante Nota D.D-S04:2359/2012,,2012-06-28
EXP-S04:0037185/2012,2012-07-22,Mesa General de Entradas,Masculino,"Solicitud de Información sobre Estadísticas Criminales de los años 2010, 2011 y hasta junio inclusive de 2012",Subsecretaría de Política Criminal,Mediante Nota D.D.S04:2861/12,,2012-07-29
EXP-S04:0038756/2012,2012-07-30,Dirección de despacho - Mesas de Entradas e Información al Público,Femenino,"DECRETO N° 1172/03 S/ESTADISTICAS SOBRE FEMICIDIO EN LA ULTIMA DECADA Y POLITICAS DE ESTADO QUE CONTEMPLEN LA VIOLENCIA DE GENERO - EN EL MARCO DEL DECRETO N°1172/03, DE ACCESO A LA INFORMACIÓN PUBLICA, SOLICITA ESTADISTICAS SOBRE FEMICIDIOS Y QUE POLITICAS DE ESTADO COMTEMPLAN LA VIOLENCIA DE GENERO.=",sspolcrim@minjus,"De mi consideración:  Tengo el agrado de dirigirme a Usted, en el marco del expediente de referencia, por medio del cual se tramita un pedido de acceso a la información pública, en virtud de Decreto Nº 1172/03, sobre las estadísticas de femicidios en la ú",Luis Mosquera- Enlace titular - Responsable de Acceso a la Información.,2012-08-07
EXP-S04:0049884/2012,2012-10-19,Mesa General de Entradas,Masculino,Solicitud de Información sobre Lista de Publicaciones que durante el 2011 violaron el art.13 de al Convención Interamericana de DD.HH,Secretaría de Derechos Humanos,"Mediante Nota D.D-3990/12  Tengo el agrado de dirigirme a Usted, en el marco del expediente de referencia, por medio del cual se tramita un pedido de acceso a la información pública, en virtud de Decreto Nº 1172/03, relacionado con listado de publicacione",,2012-10-31
EXP-S04:0056499/2012,2012-11-09,Mesa General de Entradas,Femenino,Solicitud de información relacionada con las denuncias realizadas sobre trata de personas y presupuesto a unidades del SPF.,Secretaría de Justicia,"Mediante Nota Nº 4950/12                               Tengo el agrado de dirigirme a Usted, en el marco del expediente de referencia, por medio del cual se tramita un pedido de acceso a la información pública, en virtud de Decreto Nº 1172/03, sobre la ca","Silvia BARNEDA- Directora de Despacho, Mesa de Entradas e Información al Público",2012-12-06
EXP-S04:0059869/2012,2012-11-15,Otra Mesa de Entradas del Organismo,Masculino,"Solicita información rel. Con la cantidad de causas judiciales en las que la OA actúa como querellante entre los años 2003 y 2012,",Oficina Anticorrupción,"Mediante Nota OA/DI Nº 3391/12, se brindó la inf. Solicitada parcialmente denegando parcialmente por exc 16 (f).",,2012-11-30
EXP-S04:0057602/2012,2012-11-17,Mesa General de Entradas,Femenino,Solicitud de Información relacionada con la cantidad de pedidos de Acceso a la Inf. recibidos entre el 2009/2012 que fueron contestados positivamente y cuantos rechazados en el mismo periodo,Ministerio de Justicia y Derechos Humanos,Mediante Nota D.D.-S04:4373/2012,,2012-11-17
EXP-S04:0058642/2012,2012-11-23,Mesa General de Entradas,Femenino,"Solicitud de información sobre motines producidos en unidades penitenciarias entre el 01/01/50 y 01/11/2012; fallecidos en el contexto de cada uno y cantidad actual de detenidos en condición de enfermedad terminal, entre otros.",Subsecretaría de Gestión Penitenciaria,Mediante Nota D.D.-S04:5249/2012,,2012-12-23
EXP-S04:0061767/2012,2012-12-12,Mesa General de Entradas,Masculino,"Solicita informe sobre la cantidad de infracciones detectadas en el período comprendido entre Enero-Noviembre/2012, entre otros.",Secretaría de Justicia,"Mediante Nota D.D.-S04:00025/2013""Complete aquí""))",,2012-12-06
EXP-S04:0062092/2012,2012-12-13,Mesa General de Entradas,Masculino,"Solicita se le informe si la OA elevó anteproyecto de Reglamento de Obsequios a Funcionarios Públicos, entre otros.",Oficina Anticorrupción,"Mediante Nota D.D.-S04:00087/13""Complete aquí""))",,2013-01-16
EXP-S04:0064086/2012,2012-12-22,Mesa General de Entradas,Femenino,Solicita el informe elaborado por el Registro de Tierras rurales que fue difundido por el sr Mtro. ALAK el 04/10/2012,Secretaría de Asuntos Registrales,Mediante Nota RNTR Nº 01/2013,,2013-01-04
EXP-S04:0001330/2013,2013-01-10,Mesa General de Entradas,Femenino,solicitud de documentación relacionada con la detención de su Padre Oscar Cáceres producida entre 12/12/74 al 16/*05/75,Subsecretaría de Gestión Penitenciaria,Mediante Nota Ley 24043 N° 631/13 AK114de la Sria.DD.HH,,2013-02-08
EXP-S04:0016130/2013,2013-04-14,Mesa General de Entradas,Masculino,Solicitud de Información sobre los dictámenes relacionados con la Resol.N°373/13 RECAIDA EN EL Expte.S04:14086/13.=,Subsecretaría de Asuntos Registrales,Mediante Nota RENAR N°122/13,,2013-05-24
EXP-S04:0019162/2013,2013-05-01,Mesa General de Entradas,Masculino,Solicitud relacionada con el funcionamiento del Programa Nacional de Asistencia para Pers.con Discapacidad en sus Relaciones con al Adm. de Justicia,Secretaría de Justicia,Mediante Nota D.D-S04:2043/13,,2013-05-29
EXP-S04:0041949/2013,2013-09-06,Mesa General de Entradas,Femenino,Solicitud Relacionada con la auditoria de esta Cartera de Estado en SADAIC,Subsecretaría de Coordinación y Control de Gestión Registral,"Mediante Nota DD-s04:321/14                                  Tengo el agrado de dirigirme a ud., por indición del señor Secretario de Asuntos Registrales, con relacion a su presentación de fecha 4 de septiembre de 2013, en virtud de la cual solicita infor","Silvia BARNEDA- Directora de Despacho, Mesa de Entradas e Información al Público",2014-02-09
EXP-S04:0043349/2103,2013-09-14,Mesa General de Entradas,Masculino,Solicitud relacionada con las Actas libradas en el marco de casos de delitos enmarcados en el derogado código de procedimiento contravencionales de la pta. bajo la figura del art.2° inc.H y art.3° inc. A en el ámbito de la CABA,Subsecretaría de Gestión Penitenciaria,Mediante Nota D.D-S04:3759,,2013-10-12
EXP-S04:0044224/2013,2013-09-17,Dirección de despacho - Mesas de Entradas e Información al Público,Masculino,"DECRETO N°1172/03, RELACIONADO CON LOS AUTOS PETRACCHI, ENRIQUE C/E.N.-LEY 24309 (ART.110 CN) S/PROCESO DE CONOCIMIENTO  EXPTE. N° 24669/11, EN TRAMITE POR ANTE EL JUZGADO NAC.CONT.ADM.FED.N°12.= - EN EL MARCO DEL DECRETO N°1172/03 DE ACCESO A LA INFORMACIÓN PUBLICA, SOLICITANDO: LOS ACTOS ADMINISTRATIVOSMEDIANTE LOS CUALES EL ESTADO NACIONAL DESISTIO DE LOS AUTOS CITADOS PRECEDENTEMENTE Y SE INDIQUE FECHA DE SU PUBLICIDAD OFICIAL Y SE ACOMPAÑE TODA DOCUMENTACION AL RESPECTO, COMO EL DICTAMEN DE EL SERVICIO JURIDICO PERMANENTE DE ESTA CARTERA DE ESTADO.=",Jefatura de Gabinete,,,
