"Marca temporal",sexto_grande,"Nombre"
"2021/07/01 8:52:07 a. m. GMT-3","Platense","Ferssj"
"2021/07/01 8:52:25 a. m. GMT-3","Admirante brown","Piloto"
"2021/07/01 8:55:37 a. m. GMT-3","Velez sarsfield","Juani"
"2021/07/01 8:56:59 a. m. GMT-3","Riestra","La concha de tu madre "
"2021/07/01 8:59:36 a. m. GMT-3","Deportivo la coruña","Gianfranco Montemarani"
"2021/07/01 9:23:01 a. m. GMT-3","Club Atlético Defensores de Forres","Tomás"
"2021/07/01 1:16:36 p. m. GMT-3","Velez sarsfield","Max"
"2021/07/02 12:01:25 p. m. GMT-3","Estudiantes de la plata","Tobias"
"2021/07/02 10:13:37 p. m. GMT-3","Estudiantes de la plata","Tobias"
"2021/07/03 12:59:12 p. m. GMT-3","Estudiantes de la plata","Tobias"
"2021/07/06 3:58:43 a. m. GMT-3","Estudiantes de la plata","Tobias"
"2021/07/14 8:22:11 p. m. GMT-3","Pitillo","Josue"
"2021/07/14 8:23:06 p. m. GMT-3","Huracan","asdf"
"2021/07/14 8:24:50 p. m. GMT-3","Newells","El rey"
"2021/07/14 8:48:48 p. m. GMT-3","Defensa y justicia ","Del puerto "
"2021/07/14 9:09:39 p. m. GMT-3","Velez sarsfield","Martin"
"2021/07/14 9:13:21 p. m. GMT-3","Estudiantes del norte","Tu señora"
"2021/07/14 9:13:29 p. m. GMT-3","Argentinos juniors","Simi"
"2021/07/14 10:45:37 p. m. GMT-3","Argentinos juniors","axlito"
"2021/07/14 10:47:09 p. m. GMT-3","Estudiantes de la plata","Santi"
"2021/07/14 10:48:44 p. m. GMT-3","Estudiantes del Norte","canoa"
"2021/07/14 10:49:37 p. m. GMT-3","Estudiantes de la plata","Alex"
"2021/07/14 10:51:29 p. m. GMT-3","Estudiantes de la plata","Bautista revel chion"
"2021/07/14 10:53:13 p. m. GMT-3","Estudiantes de la plata","florchu"
"2021/07/14 10:55:30 p. m. GMT-3","Huracan","Psvaldo"
"2021/07/14 10:55:48 p. m. GMT-3","Velez sarsfield","Fp"
"2021/07/14 10:58:07 p. m. GMT-3","Comunicaciones y colegiales tambien puede ser. Igual por historia yo diria que el 17 de agosto.","SOMOS CAMPEONES DE AMERICA. Atte: fp"
"2021/07/14 10:59:06 p. m. GMT-3","Estudiantes de la plata","Alejandro"
