Nombre del Artista,Popularidad,Seguidores
Taylor Swift,96,44758818
Lana Del Rey,88,14385886
Ariana Grande,94,71193149
Lorde,83,8535289
Beyoncé,87,29319288
Frank Ocean,85,8421913
Olivia Rodrigo,92,9845839
Lady Gaga,88,19727444
Kanye West,95,15516393
Billie Eilish,94,51477868
Doja Cat,96,11618885
Dua Lipa,94,29380572
Original Broadway Cast of Hamilton,77,405334
Nicki Minaj,90,22986386
Nathy Peluso,77,686544
Björk,64,1447481
Nirvana,84,13886486
The Carters,60,1235761
Florence + The Machine,77,5696526
The Weeknd,96,38102015
